entry_time,exit_time,dir,entry,exit,qty,bars_held,pnl,R,return_pct,reason,equity
2025-11-19 08:40:00+00:00,2025-11-19 15:55:00+00:00,short,91659.25,90458.29625,0.07716187614927782,87,84.23632558949909,0.7940156774502671,1.3102373737511441,trail,10693.135870243037
2025-11-19 22:20:00+00:00,2025-11-20 00:15:00+00:00,short,90272.34,91626.4251,0.07896945229101951,23,-115.55002621384601,-1.0805999999999978,-1.4999999999999902,stop,10577.58584402919
2025-11-20 00:30:00+00:00,2025-11-20 14:10:00+00:00,long,91855.18,90477.3523,0.07677001880590144,164,-114.17446160045066,-1.079399999999996,-1.4999999999999902,stop,10463.41138242874
2025-11-20 23:10:00+00:00,2025-11-21 02:20:00+00:00,short,87647.82,86613.94910000001,0.07958677795164587,38,73.96109411527422,0.7068544990926904,1.1795740042364944,trail,10537.372476544015
2025-11-21 08:50:00+00:00,2025-11-21 10:05:00+00:00,short,83720.02,82135.4001,0.0839096190416901,15,124.6147330649272,1.1825977808255062,1.8927610146294849,trail,10661.987209608942
2025-11-21 11:55:00+00:00,2025-11-21 12:25:00+00:00,short,82257.18,81322.2859,0.08641180591253711,6,72.30476928279886,0.6781547178900699,1.1365501467470618,trail,10734.29197889174
2025-11-21 14:20:00+00:00,2025-11-21 14:35:00+00:00,short,83626.69,84881.09035,0.08557309457775376,3,-115.99475912390383,-1.080599999999997,-1.4999999999999902,stop,10618.297219767837
2025-11-21 15:10:00+00:00,2025-11-21 15:45:00+00:00,short,84466.27,83205.01134999999,0.08380700145961884,7,97.27108912900702,0.9160705065584309,1.4932098339372812,trail,10715.568308896844
2025-11-22 04:15:00+00:00,2025-11-23 01:15:00+00:00,short,84115.21,85376.93815,0.08492771052858607,252,-115.79243114593888,-1.0805999999999962,-1.4999999999999902,stop,10599.775877750904
2025-11-23 04:10:00+00:00,2025-11-23 22:05:00+00:00,long,86447.65,87695.40175,0.08174331230327184,215,93.45434305841776,0.8816633873795378,1.4433610977279354,trail,10693.230220809322
2025-11-24 00:40:00+00:00,2025-11-24 14:40:00+00:00,long,86871.23,85568.16154999999,0.08206192253990435,168,-115.42272700341634,-1.0794000000000048,-1.5000000000000124,stop,10577.807493805905
2025-11-24 17:30:00+00:00,2025-11-24 21:40:00+00:00,long,87717.41,88789.41295,0.08039306749409575,50,77.66765055486665,0.7342509362204489,1.2221096701327427,trail,10655.475144360771
2025-11-25 00:45:00+00:00,2025-11-25 09:10:00+00:00,long,88187.03,86864.22455,0.08055209588349346,101,-115.01519870823014,-1.0794,-1.5000000000000013,stop,10540.459945652541
2025-11-25 12:40:00+00:00,2025-11-25 14:55:00+00:00,short,87448.13,86553.24065,0.08035590123084042,27,63.52041804874145,0.6026342149797811,1.023337320077622,trail,10603.980363701283
2025-11-26 00:30:00+00:00,2025-11-26 12:20:00+00:00,long,87630.66,86316.2001,0.08067176764921685,142,-114.45936404579177,-1.0794000000000012,-1.5000000000000013,stop,10489.520999655491
2025-11-26 15:00:00+00:00,2025-11-26 17:25:00+00:00,short,86899.72,88203.21579999999,0.08047222706552251,29,-113.34976392227642,-1.0805999999999922,-1.4999999999999902,stop,10376.171235733214
2025-11-26 21:30:00+00:00,2025-11-27 02:55:00+00:00,long,90270.01,91498.64995,0.07663062727575648,65,85.79402220592965,0.8268369927288229,1.361072132372665,trail,10461.965257939144
2025-11-27 05:25:00+00:00,2025-11-28 14:30:00+00:00,long,91494.33,92526.82835,0.07623033586117045,397,70.29089917265462,0.6718708907899863,1.1284834262407228,trail,10532.256157111799
2025-11-28 15:30:00+00:00,2025-11-28 16:25:00+00:00,long,92668.54,91278.5119,0.07577009527441783,11,-113.68517295986446,-1.0793999999999973,-1.4999999999999902,stop,10418.570984151935
2025-11-29 20:05:00+00:00,2025-11-30 13:20:00+00:00,short,90467.48,91824.4922,0.07677580926797811,207,-112.58307805474563,-1.0805999999999982,-1.4999999999999902,stop,10305.987906097189
2025-11-30 18:40:00+00:00,2025-12-01 00:00:00+00:00,long,91420.79,90049.47815,0.07515422481106096,64,-111.24283345841293,-1.0793999999999988,-1.5000000000000013,stop,10194.745072638776
2025-12-01 04:30:00+00:00,2025-12-01 15:35:00+00:00,short,85733.66,84682.9583,0.07927454298687957,133,75.18807736317666,0.7375179744805057,1.225541636738714,trail,10269.933150001953
2025-12-02 01:00:00+00:00,2025-12-02 14:40:00+00:00,long,86513.33,88466.43335,0.07913950486013313,164,146.2589449604303,1.4241470009997341,2.257575046527527,trail,10416.192094962384
2025-12-02 17:25:00+00:00,2025-12-03 03:05:00+00:00,long,91682.49,92628.67755,0.07574105004465144,116,63.289285757059595,0.6076048250652789,1.032026453470003,trail,10479.481380719444
2025-12-03 04:40:00+00:00,2025-12-04 19:10:00+00:00,long,93051.26,91655.4911,0.07508034733199347,462,-113.11552202348535,-1.0793999999999968,-1.4999999999999902,stop,10366.36585869596
2025-12-05 05:35:00+00:00,2025-12-05 13:55:00+00:00,short,91933.29,90675.17645,0.07517310184878594,100,86.33995112334935,0.8328854325638332,1.3685070446189829,trail,10452.705809819308
2025-12-05 16:00:00+00:00,2025-12-05 16:45:00+00:00,short,90459.34,88508.2967,0.0770342845733734,9,142.02523847418965,1.3587413733654556,2.1568179692666223,trail,10594.731048293497
2025-12-05 23:10:00+00:00,2025-12-07 14:35:00+00:00,short,89089.02,88164.7251,0.07928198146298686,473,64.848114248176,0.6120789093425939,1.0374958664939982,trail,10659.579162541673
